"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1878;"osoba";"";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";2098;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";5454;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";4091;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3510;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";3033;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";2916;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";2938;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2019";8040;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2020";7719;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2021";6976;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2022";7099;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2023";7165;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2024";7260;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1712;"osoba";"";
2400000;"ŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";1923;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";3369;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";2644;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";2098;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";1646;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";1560;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";1592;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2019";2054;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2020";1959;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2021";1778;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2022";1769;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2023";1787;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium rektora";"uczelnie ogółem";"2024";1759;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";558;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";629;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";3371;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";2368;"osoba";"";
